,Word,Count,% of Total
77,feel,110,0.2565777197238291
78,night,106,0.24724762082478074
79,see,106,0.24724762082478074
80,come,104,0.24258257137525657
81,there,102,0.2379175219257324
82,where,100,0.23325247247620823
83,was,100,0.23325247247620823
84,she,99,0.23091994775144617
85,down,99,0.23091994775144617
86,always,95,0.22158984885239782
87,still,93,0.21692479940287365
88,world,93,0.21692479940287365
89,been,93,0.21692479940287365
90,hey,92,0.2145922746781116
91,everybody,91,0.21225974995334954
92,gonna,89,0.20759470050382536
93,theres,86,0.20059712632953908
94,everything,84,0.19593207688001496
95,said,83,0.19359955215525285
96,more,82,0.19126702743049076
97,roll,81,0.18893450270572867
98,over,80,0.18660197798096662
99,aint,78,0.18193692853144244
100,without,78,0.18193692853144244
101,leave,78,0.18193692853144244
102,na,77,0.17960440380668036
103,us,76,0.17727187908191827
104,again,76,0.17727187908191827
105,only,75,0.17493935435715618
106,long,75,0.17493935435715618
107,thats,75,0.17493935435715618
108,every,75,0.17493935435715618
109,light,75,0.17493935435715618
110,give,74,0.1726068296323941
111,why,74,0.1726068296323941
112,ha,74,0.1726068296323941
113,at,73,0.17027430490763204
114,through,72,0.16794178018286995
115,here,72,0.16794178018286995
116,our,70,0.16327673073334578
117,eyes,70,0.16327673073334578
118,who,68,0.1586116812838216
119,her,68,0.1586116812838216
120,brian,67,0.15627915655905952
121,much,67,0.15627915655905952
122,bye,67,0.15627915655905952
123,else,65,0.15161410710953538
124,gotta,63,0.1469490576600112
125,day,63,0.1469490576600112
126,aj,62,0.14461653293524912
127,nick,62,0.14461653293524912
128,close,61,0.14228400821048703
129,place,60,0.13995148348572495
130,had,56,0.13062138458667663
131,things,56,0.13062138458667663
132,nothing,56,0.13062138458667663
133,care,54,0.12595633513715246
134,believe,53,0.12362381041239037
135,did,53,0.12362381041239037
136,done,52,0.12129128568762829
137,left,52,0.12129128568762829
138,think,52,0.12129128568762829
139,stay,51,0.1189587609628662
140,show,51,0.1189587609628662
141,body,51,0.1189587609628662
142,keep,50,0.11662623623810411
143,around,50,0.11662623623810411
144,hear,50,0.11662623623810411
145,wish,48,0.11196118678857997
146,nobody,48,0.11196118678857997
147,best,48,0.11196118678857997
148,days,48,0.11196118678857997
149,hold,47,0.10962866206381788
150,than,47,0.10962866206381788
151,by,47,0.10962866206381788
152,alright,46,0.1072961373390558
153,thing,46,0.1072961373390558
154,another,46,0.1072961373390558
155,away,46,0.1072961373390558
156,find,45,0.10496361261429371
157,try,45,0.10496361261429371
158,howie,45,0.10496361261429371
159,la,45,0.10496361261429371
160,about,45,0.10496361261429371
161,really,45,0.10496361261429371
162,stop,45,0.10496361261429371
163,crazy,45,0.10496361261429371
164,better,44,0.10263108788953162
165,true,43,0.10029856316476954
166,new,43,0.10029856316476954
167,face,43,0.10029856316476954
168,wrong,43,0.10029856316476954
169,alone,43,0.10029856316476954
170,inside,42,0.09796603844000748
171,call,42,0.09796603844000748
172,turn,42,0.09796603844000748
173,something,42,0.09796603844000748
174,somebody,42,0.09796603844000748
175,wont,41,0.09563351371524538
176,whoa,41,0.09563351371524538
177,even,40,0.09330098899048331
178,fall,40,0.09330098899048331
179,or,40,0.09330098899048331
180,last,40,0.09330098899048331
181,forever,40,0.09330098899048331
182,well,39,0.09096846426572122
183,too,39,0.09096846426572122
184,goodbye,39,0.09096846426572122
185,tonight,38,0.08863593954095914
186,hands,38,0.08863593954095914
187,rock,37,0.08630341481619705
188,then,36,0.08397089009143498
189,playin,36,0.08397089009143498
190,cuz,36,0.08397089009143498
191,live,36,0.08397089009143498
192,ever,36,0.08397089009143498
193,chance,36,0.08397089009143498
194,games,36,0.08397089009143498
195,lets,36,0.08397089009143498
196,party,35,0.08163836536667289
197,uh,35,0.08163836536667289
198,makes,35,0.08163836536667289
199,apart,35,0.08163836536667289
200,falling,34,0.0793058406419108
201,mind,34,0.0793058406419108
202,yes,34,0.0793058406419108
203,they,34,0.0793058406419108
204,boys,33,0.07697331591714872
205,lights,33,0.07697331591714872
206,words,33,0.07697331591714872
207,masquerade,32,0.07464079119238665
208,used,32,0.07464079119238665
209,made,32,0.07464079119238665
210,good,31,0.07230826646762456
211,change,31,0.07230826646762456
212,end,31,0.07230826646762456
213,breathe,31,0.07230826646762456
214,some,31,0.07230826646762456
215,home,31,0.07230826646762456
216,look,30,0.06997574174286247
217,gone,30,0.06997574174286247
218,quit,30,0.06997574174286247
219,pda,30,0.06997574174286247
220,shattered,30,0.06997574174286247
221,should,29,0.06764321701810039
222,listen,29,0.06764321701810039
223,goes,29,0.06764321701810039
224,soldier,29,0.06764321701810039
225,lose,29,0.06764321701810039
226,mean,28,0.06531069229333832
227,beautiful,28,0.06531069229333832
228,other,28,0.06531069229333832
229,sun,28,0.06531069229333832
230,please,28,0.06531069229333832
231,run,27,0.06297816756857623
232,enough,27,0.06297816756857623
233,part,27,0.06297816756857623
234,same,26,0.06064564284381414
235,people,26,0.06064564284381414
236,promise,26,0.06064564284381414
237,them,26,0.06064564284381414
238,bridge,25,0.05831311811905206
239,little,25,0.05831311811905206
240,feels,25,0.05831311811905206
241,maybe,25,0.05831311811905206
242,start,25,0.05831311811905206
243,die,25,0.05831311811905206
244,before,25,0.05831311811905206
245,knew,24,0.055980593394289985
246,side,24,0.055980593394289985
247,hes,24,0.055980593394289985
248,2x,24,0.055980593394289985
249,first,24,0.055980593394289985
250,once,24,0.055980593394289985
251,repeat,24,0.055980593394289985
252,hard,23,0.0536480686695279
253,kiss,23,0.0536480686695279
254,into,23,0.0536480686695279
255,someone,23,0.0536480686695279
256,mine,23,0.0536480686695279
257,reason,22,0.05131554394476581
258,waiting,22,0.05131554394476581
259,head,22,0.05131554394476581
260,cry,22,0.05131554394476581
261,phone,22,0.05131554394476581
262,after,22,0.05131554394476581
263,nothin,22,0.05131554394476581
264,breaking,22,0.05131554394476581
265,hide,22,0.05131554394476581
266,matter,22,0.05131554394476581
267,ya,22,0.05131554394476581
268,lie,22,0.05131554394476581
269,dark,21,0.04898301922000374
270,free,21,0.04898301922000374
271,must,21,0.04898301922000374
272,em,21,0.04898301922000374
273,smile,21,0.04898301922000374
274,deep,21,0.04898301922000374
275,together,21,0.04898301922000374
276,going,21,0.04898301922000374
